,beer_style,precision,recall,f1,support
0,0,0.0014347202295552368,0.0021231422505307855,0.0017123287671232876,471
1,1,0.010688836104513063,0.020701552616446232,0.014098296455844917,1739
2,2,0.0,0.0,0.0,2074
3,3,0.0,0.0,0.0,521
4,4,0.028181818181818183,0.036449147560258674,0.0317867213534991,1701
5,5,0.011363636363636364,0.004484304932735426,0.006430868167202572,446
6,6,0.03076923076923077,0.0029940119760479044,0.005457025920873124,668
7,7,0.007168458781362007,0.0044994375703037125,0.005528680027643401,889
8,8,0.0,0.0,0.0,32
9,9,0.0,0.0,0.0,4134
10,10,0.002583979328165375,0.008450704225352112,0.003957783641160949,355
11,11,0.0,0.0,0.0,4406
12,12,0.08764204545454546,0.08468295360966237,0.08613709339662153,7286
13,13,0.0,0.0,0.0,210
14,14,0.02875399361022364,0.005457853244390539,0.009174311926605503,3298
15,15,0.003524672708962739,0.022292993630573247,0.006086956521739131,314
16,16,0.0,0.0,0.0,1380
17,17,0.03125,0.007954043305346884,0.012680521310320535,2263
18,18,0.012396694214876033,0.023369036027263874,0.016199797502531216,1027
19,19,0.010567632850241546,0.035860655737704916,0.01632462686567164,976
20,20,0.0,0.0,0.0,565
21,21,0.009205983889528193,0.010309278350515464,0.009726443768996961,776
22,22,0.00980392156862745,0.02912621359223301,0.014669926650366748,618
23,23,0.014084507042253521,0.0014792899408284023,0.0026773761713520744,676
24,24,0.015151515151515152,0.004440497335701598,0.006868131868131867,1126
25,25,0.05405405405405406,0.0007892659826361484,0.0015558148580318942,2534
26,26,0.06578947368421052,0.0033134526176275677,0.006309148264984227,1509
27,27,0.0016778523489932886,0.013245033112582781,0.0029784065524944155,151
28,28,0.0,0.0,0.0,95
29,29,0.0,0.0,0.0,334
30,30,0.0,0.0,0.0,53
31,31,0.018637157833430402,0.03418803418803419,0.024123633622314365,936
32,32,0.0,0.0,0.0,11
33,33,0.0,0.0,0.0,280
34,34,0.0,0.0,0.0,18
35,35,0.0009600614439324117,0.02336448598130841,0.0018443378827001106,214
36,36,0.0,0.0,0.0,1077
37,37,0.012875536480686695,0.004672897196261682,0.006857142857142857,642
38,38,0.0,0.0,0.0,98
39,39,0.0,0.0,0.0,1245
40,40,0.0,0.0,0.0,250
41,41,0.0,0.0,0.0,25
42,42,0.0022753128555176336,0.00980392156862745,0.0036934441366574325,408
43,43,0.0,0.0,0.0,255
44,44,0.008206330597889801,0.018741633199464525,0.01141459437423563,747
45,45,0.0,0.0,0.0,96
46,46,0.0033444816053511705,0.0021598272138228943,0.0026246719160104987,463
47,47,0.0,0.0,0.0,1243
48,48,0.0,0.0,0.0,34
49,49,0.0034482758620689655,0.0025188916876574307,0.0029112081513828236,397
50,50,0.0,0.0,0.0,130
51,51,0.002932551319648094,0.005714285714285714,0.003875968992248062,175
52,52,0.0010756543564001434,0.016483516483516484,0.0020195220464490067,182
53,53,0.028409090909090908,0.006622516556291391,0.010741138560687433,755
54,54,0.0,0.0,0.0,144
55,55,0.005494505494505495,0.0012330456226880395,0.002014098690835851,811
56,56,0.0,0.0,0.0,9
57,57,0.0,0.0,0.0,245
58,58,0.008062274117319988,0.04948805460750853,0.013865646665072914,586
59,59,0.0,0.0,0.0,361
60,60,0.017735334242837655,0.0188953488372093,0.018296973961998596,2064
61,61,0.0048543689320388345,0.001694915254237288,0.002512562814070352,590
62,62,0.0,0.0,0.0,16
63,63,0.0,0.0,0.0,52
64,64,0.0,0.0,0.0,12
65,65,0.013690105787181083,0.037383177570093455,0.02004099294010476,1177
66,66,0.0,0.0,0.0,399
67,67,0.00264783759929391,0.010869565217391304,0.0042583392476934,276
68,68,0.0056925996204933585,0.012738853503184714,0.007868852459016393,471
69,69,0.001557632398753894,0.053763440860215055,0.003027550711474417,93
70,70,0.0029585798816568047,0.017857142857142856,0.005076142131979695,56
71,71,0.0,0.0,0.0,21
72,72,0.0,0.0,0.0,20
73,73,0.0049586776859504135,0.04433497536945813,0.008919722497522299,406
74,74,0.0,0.0,0.0,179
75,75,0.0,0.0,0.0,7
76,76,0.01652892561983471,0.0023094688221709007,0.004052684903748734,866
77,77,0.0,0.0,0.0,41
78,78,0.0,0.0,0.0,646
79,79,0.0,0.0,0.0,409
80,80,0.0,0.0,0.0,183
81,81,0.0,0.0,0.0,351
82,82,0.0,0.0,0.0,1123
83,83,0.0,0.0,0.0,320
84,84,0.007863695937090432,0.013143483023001095,0.009840098400984008,913
85,85,0.034482758620689655,0.0012453300124533001,0.002403846153846154,803
86,86,0.0,0.0,0.0,806
87,87,0.0,0.0,0.0,518
88,88,0.0,0.0,0.0,12
89,89,0.005434782608695652,0.00045998160073597056,0.0008481764206955047,2174
90,90,0.0,0.0,0.0,991
91,91,0.0,0.0,0.0,32
92,92,0.013996889580093312,0.007305194805194805,0.0096,1232
93,93,0.005307855626326964,0.018115942028985508,0.008210180623973728,552
94,94,0.029411764705882353,0.0007993605115907274,0.001556420233463035,1251
95,95,0.007792207792207792,0.026785714285714284,0.012072434607645875,336
96,96,0.0009995002498750624,0.05263157894736842,0.00196174595389897,38
97,97,0.0,0.0,0.0,75
98,98,0.0,0.0,0.0,2033
99,99,0.0,0.0,0.0,676
100,100,0.0024922118380062306,0.02909090909090909,0.004591104734576758,275
101,101,0.0046439628482972135,0.0234375,0.007751937984496124,128
102,102,0.0,0.0,0.0,655
103,103,0.027777777777777776,0.001328609388839681,0.0025359256128486894,2258
